tanggal,provinsi,bagian,brand,jenis,cust_type
"2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","KartuAS","Gold","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","kartuAS","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","Loop","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","LOOP","Gold","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","Loop","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI BARAT","Loop","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","LOOP","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","simPATI","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","simPATI","Gold","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","simPATI","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI BARAT","simPATI","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI BARAT","simPATI","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","kartuAS","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Gold","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","kartuAS","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","KartuAS","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","Loop","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","LOOP","Gold","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","Loop","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI TIMUR","LOOP","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","Loop","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Diamond","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Gold","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Non HVC","B2B"
"2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Non HVC","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","simPATI","Platinum","B2C"
"2020-09-01","BALINUSRA","BALI TIMUR","UNKNOWN","Non HVC","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Diamond","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Gold","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Non HVC","B2B"
"2020-09-01","BALINUSRA","FLORES SUMBA","KartuAS","Non HVC","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","kartuAS","Platinum","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Diamond","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Gold","B2C"
"2020-09-01","BALINUSRA","FLORES SUMBA","Loop","Non HVC","B2B"
"2020-09-01","BALINUSRA","FLORES SUMBA","LOOP","Non HVC","B2C"
